Year,Sport,Discipline,Gender,Event,Country,Medal,,Individual Medal Breakdown,,,Total Metal Breakdown,
1972,Skating,Speed skating,Women,3000M,USA,Silver,,,,,,
1976,Skating,Speed skating,Women,3000M,GDR,Silver,,,,,,
1980,Skating,Speed skating,Women,3000M,GDR,Silver,,,,,,
1984,Skating,Speed skating,Women,3000M,GDR,Silver,,,,,,
1988,Skating,Speed skating,Women,3000M,GDR,Silver,,,,,,
1992,Skating,Speed skating,Women,3000M,GER,Silver,,,,,,
1994,Skating,Speed skating,Women,3000M,AUT,Silver,,,,,,
1998,Skating,Speed skating,Women,3000M,GER,Silver,,,,,,
2002,Skating,Speed skating,Women,3000M,NED,Silver,,,,,,
2006,Skating,Speed skating,Women,3000M,NED,Silver,,,,,,
2010,Skating,Speed skating,Women,3000M,GER,Silver,,,,,,
2014,Skating,Speed skating,Women,3000M,CZE,Silver,,,,,,
1988,Skating,Speed skating,Women,5000M,GDR,Bronze,,,,,GDR,
1992,Skating,Speed skating,Women,5000M,GER,Bronze,,,,,GER,
1994,Skating,Speed skating,Women,5000M,JPN,Bronze,,,,,JPN,
1998,Skating,Speed skating,Women,5000M,KAZ,Bronze,,,,,KAZ,
2002,Skating,Speed skating,Women,5000M,CAN,Bronze,,,,,CAN,
2006,Skating,Speed skating,Women,5000M,CAN,Bronze,,,,,NED,
2010,Skating,Speed skating,Women,5000M,CAN,Bronze,,,,,CZE,
2014,Skating,Speed skating,Women,5000M,NED,Bronze,,,,,,
1988,Skating,Speed skating,Women,5000M,NED,Gold,,,,,,
1992,Skating,Speed skating,Women,5000M,GER,Gold,,,,,,
1994,Skating,Speed skating,Women,5000M,GER,Gold,,,,,,
1998,Skating,Speed skating,Women,5000M,GER,Gold,,,,,,
2002,Skating,Speed skating,Women,5000M,GER,Gold,,,,,,
2006,Skating,Speed skating,Women,5000M,CAN,Gold,,,,,,
2010,Skating,Speed skating,Women,5000M,CZE,Gold,,,,,,
2014,Skating,Speed skating,Women,5000M,CZE,Gold,,,,,,
1988,Skating,Speed skating,Women,5000M,GDR,Silver,,,,,,
1992,Skating,Speed skating,Women,5000M,GER,Silver,,,,,,
1994,Skating,Speed skating,Women,5000M,GER,Silver,,,,,,
1998,Skating,Speed skating,Women,5000M,GER,Silver,,,,,,
2002,Skating,Speed skating,Women,5000M,NED,Silver,,,,,,
2006,Skating,Speed skating,Women,5000M,GER,Silver,,,,,,
2010,Skating,Speed skating,Women,5000M,GER,Silver,,,,,,
2014,Skating,Speed skating,Women,5000M,NED,Silver,,,,,,
1960,Skating,Speed skating,Women,500M,USA,Bronze,,,,,USA,
1964,Skating,Speed skating,Women,500M,URS,Bronze,,,,,URS,
1972,Skating,Speed skating,Women,500M,URS,Bronze,,,,,GDR,
1976,Skating,Speed skating,Women,500M,URS,Bronze,,,,,GER,
1980,Skating,Speed skating,Women,500M,URS,Bronze,,,,,JPN,
1984,Skating,Speed skating,Women,500M,URS,Bronze,,,,,CHN,
1988,Skating,Speed skating,Women,500M,GDR,Bronze,,,,,NED,
1992,Skating,Speed skating,Women,500M,GER,Bronze,,,,,EUA,
1994,Skating,Speed skating,Women,500M,GER,Bronze,,,,,CAN,
1998,Skating,Speed skating,Women,500M,JPN,Bronze,,,,,RUS,
2002,Skating,Speed skating,Women,500M,GER,Bronze,,,,,KOR,
2006,Skating,Speed skating,Women,500M,CHN,Bronze,,,,,,
2010,Skating,Speed skating,Women,500M,CHN,Bronze,,,,,,
2014,Skating,Speed skating,Women,500M,NED,Bronze,,,,,,
1960,Skating,Speed skating,Women,500M,EUA,Gold,,,,,,
1964,Skating,Speed skating,Women,500M,URS,Gold,,,,,,
1968,Skating,Speed skating,Women,500M,URS,Gold,,,,,,
1972,Skating,Speed skating,Women,500M,USA,Gold,,,,,,
1976,Skating,Speed skating,Women,500M,USA,Gold,,,,,,
1980,Skating,Speed skating,Women,500M,GDR,Gold,,,,,,
1984,Skating,Speed skating,Women,500M,GDR,Gold,,,,,,
1988,Skating,Speed skating,Women,500M,USA,Gold,,,,,,
1992,Skating,Speed skating,Women,500M,USA,Gold,,,,,,
1994,Skating,Speed skating,Women,500M,USA,Gold,,,,,,
1998,Skating,Speed skating,Women,500M,CAN,Gold,,,,,,
2002,Skating,Speed skating,Women,500M,CAN,Gold,,,,,,
2006,Skating,Speed skating,Women,500M,RUS,Gold,,,,,,
2010,Skating,Speed skating,Women,500M,KOR,Gold,,,,,,
2014,Skating,Speed skating,Women,500M,KOR,Gold,,,,,,
1960,Skating,Speed skating,Women,500M,URS,Silver,,,,,,
1964,Skating,Speed skating,Women,500M,URS,Silver,,,,,,
1968,Skating,Speed skating,Women,500M,USA,Silver,,,,,,
1968,Skating,Speed skating,Women,500M,USA,Silver,,,,,,
1968,Skating,Speed skating,Women,500M,USA,Silver,,,,,,
1972,Skating,Speed skating,Women,500M,URS,Silver,,,,,,
1976,Skating,Speed skating,Women,500M,CAN,Silver,,,,,,
1980,Skating,Speed skating,Women,500M,USA,Silver,,,,,,
1984,Skating,Speed skating,Women,500M,GDR,Silver,,,,,,
1988,Skating,Speed skating,Women,500M,GDR,Silver,,,,,,
1992,Skating,Speed skating,Women,500M,CHN,Silver,,,,,,
1994,Skating,Speed skating,Women,500M,CAN,Silver,,,,,,
1998,Skating,Speed skating,Women,500M,CAN,Silver,,,,,,
2002,Skating,Speed skating,Women,500M,GER,Silver,,,,,,
2006,Skating,Speed skating,Women,500M,CHN,Silver,,,,,,
2010,Skating,Speed skating,Women,500M,GER,Silver,,,,,,
2014,Skating,Speed skating,Women,500M,RUS,Silver,,,,,,
2006,Skating,Speed skating,Women,Team Pursuit,RUS,Bronze,,,,,RUS,
2010,Skating,Speed skating,Women,Team Pursuit,POL,Bronze,,,,,POL,
2014,Skating,Speed skating,Women,Team Pursuit,RUS,Bronze,,,,,GER,
2006,Skating,Speed skating,Women,Team Pursuit,GER,Gold,,,,,NED,
2010,Skating,Speed skating,Women,Team Pursuit,GER,Gold,,,,,CAN,
2014,Skating,Speed skating,Women,Team Pursuit,NED,Gold,,,,,JPN,
2006,Skating,Speed skating,Women,Team Pursuit,CAN,Silver,,,,,,
2010,Skating,Speed skating,Women,Team Pursuit,JPN,Silver,,,,,,
2014,Skating,Speed skating,Women,Team Pursuit,POL,Silver,,,,,,
1936,Skiing,Alpine Skiing,Men,Alpine Combined,FRA,Bronze,,,,,,
1948,Skiing,Alpine Skiing,Men,Alpine Combined,FRA,Bronze,,,,,,
1988,Skiing,Alpine Skiing,Men,Alpine Combined,SUI,Bronze,,,,,,
1992,Skiing,Alpine Skiing,Men,Alpine Combined,SUI,Bronze,,,,,,
1994,Skiing,Alpine Skiing,Men,Alpine Combined,NOR,Bronze,,,,,,
1998,Skiing,Alpine Skiing,Men,Alpine Combined,AUT,Bronze,,,,,,
2002,Skiing,Alpine Skiing,Men,Alpine Combined,AUT,Bronze,,,,,,
2006,Skiing,Alpine Skiing,Men,Alpine Combined,AUT,Bronze,,,,,,
1936,Skiing,Alpine Skiing,Men,Alpine Combined,GER,Gold,,,,,,
1948,Skiing,Alpine Skiing,Men,Alpine Combined,FRA,Gold,,,,,,
1988,Skiing,Alpine Skiing,Men,Alpine Combined,AUT,Gold,,,,,,
1992,Skiing,Alpine Skiing,Men,Alpine Combined,ITA,Gold,,,,,,
1994,Skiing,Alpine Skiing,Men,Alpine Combined,NOR,Gold,,,,,,
1998,Skiing,Alpine Skiing,Men,Alpine Combined,AUT,Gold,,,,,,
2002,Skiing,Alpine Skiing,Men,Alpine Combined,NOR,Gold,,,,,,
2006,Skiing,Alpine Skiing,Men,Alpine Combined,USA,Gold,,,,,,
1936,Skiing,Alpine Skiing,Men,Alpine Combined,GER,Silver,,,,,,
1948,Skiing,Alpine Skiing,Men,Alpine Combined,SUI,Silver,,,,,,
1988,Skiing,Alpine Skiing,Men,Alpine Combined,AUT,Silver,,,,,,
1992,Skiing,Alpine Skiing,Men,Alpine Combined,ITA,Silver,,,,,,
1994,Skiing,Alpine Skiing,Men,Alpine Combined,NOR,Silver,,,,,,
1998,Skiing,Alpine Skiing,Men,Alpine Combined,NOR,Silver,,,,,,
2002,Skiing,Alpine Skiing,Men,Alpine Combined,USA,Silver,,,,,,
2006,Skiing,Alpine Skiing,Men,Alpine Combined,CRO,Silver,,,,,,
1948,Skiing,Alpine Skiing,Men,Downhill,SUI,Bronze,,,,,SUI,
1948,Skiing,Alpine Skiing,Men,Downhill,SUI,Bronze,,,,,AUT,
1952,Skiing,Alpine Skiing,Men,Downhill,AUT,Bronze,,,,,FRA,
1956,Skiing,Alpine Skiing,Men,Downhill,AUT,Bronze,,,,,EUA,
1960,Skiing,Alpine Skiing,Men,Downhill,FRA,Bronze,,,,,ITA,
1964,Skiing,Alpine Skiing,Men,Downhill,EUA,Bronze,,,,,CAN,
1968,Skiing,Alpine Skiing,Men,Downhill,SUI,Bronze,,,,,USA,
1972,Skiing,Alpine Skiing,Men,Downhill,AUT,Bronze,,,,,NOR,
1976,Skiing,Alpine Skiing,Men,Downhill,ITA,Bronze,,,,,,
1980,Skiing,Alpine Skiing,Men,Downhill,CAN,Bronze,,,,,,
1984,Skiing,Alpine Skiing,Men,Downhill,AUT,Bronze,,,,,,
1988,Skiing,Alpine Skiing,Men,Downhill,FRA,Bronze,,,,,,
1992,Skiing,Alpine Skiing,Men,Downhill,AUT,Bronze,,,,,,
1994,Skiing,Alpine Skiing,Men,Downhill,CAN,Bronze,,,,,,
1998,Skiing,Alpine Skiing,Men,Downhill,AUT,Bronze,,,,,,
2002,Skiing,Alpine Skiing,Men,Downhill,AUT,Bronze,,,,,,
2006,Skiing,Alpine Skiing,Men,Downhill,SUI,Bronze,,,,,,
2010,Skiing,Alpine Skiing,Men,Downhill,USA,Bronze,,,,,,
2014,Skiing,Alpine Skiing,Men,Downhill,NOR,Bronze,,,,,,
1948,Skiing,Alpine Skiing,Men,Downhill,FRA,Gold,,,,,,
1952,Skiing,Alpine Skiing,Men,Downhill,ITA,Gold,,,,,,
1956,Skiing,Alpine Skiing,Men,Downhill,AUT,Gold,,,,,,
1960,Skiing,Alpine Skiing,Men,Downhill,FRA,Gold,,,,,,
1964,Skiing,Alpine Skiing,Men,Downhill,AUT,Gold,,,,,,
1968,Skiing,Alpine Skiing,Men,Downhill,FRA,Gold,,,,,,
1972,Skiing,Alpine Skiing,Men,Downhill,SUI,Gold,,,,,,
1976,Skiing,Alpine Skiing,Men,Downhill,AUT,Gold,,,,,,
1980,Skiing,Alpine Skiing,Men,Downhill,AUT,Gold,,,,,,
1984,Skiing,Alpine Skiing,Men,Downhill,USA,Gold,,,,,,
1988,Skiing,Alpine Skiing,Men,Downhill,SUI,Gold,,,,,,
1992,Skiing,Alpine Skiing,Men,Downhill,AUT,Gold,,,,,,
1994,Skiing,Alpine Skiing,Men,Downhill,USA,Gold,,,,,,
1998,Skiing,Alpine Skiing,Men,Downhill,FRA,Gold,,,,,,
2002,Skiing,Alpine Skiing,Men,Downhill,AUT,Gold,,,,,,
2006,Skiing,Alpine Skiing,Men,Downhill,FRA,Gold,,,,,,
2010,Skiing,Alpine Skiing,Men,Downhill,SUI,Gold,,,,,,
2014,Skiing,Alpine Skiing,Men,Downhill,AUT,Gold,,,,,,
1948,Skiing,Alpine Skiing,Men,Downhill,AUT,Silver,,,,,,
1952,Skiing,Alpine Skiing,Men,Downhill,AUT,Silver,,,,,,
1956,Skiing,Alpine Skiing,Men,Downhill,SUI,Silver,,,,,,
1960,Skiing,Alpine Skiing,Men,Downhill,EUA,Silver,,,,,,
1964,Skiing,Alpine Skiing,Men,Downhill,FRA,Silver,,,,,,
1968,Skiing,Alpine Skiing,Men,Downhill,FRA,Silver,,,,,,
1972,Skiing,Alpine Skiing,Men,Downhill,SUI,Silver,,,,,,
1976,Skiing,Alpine Skiing,Men,Downhill,SUI,Silver,,,,,,
1980,Skiing,Alpine Skiing,Men,Downhill,AUT,Silver,,,,,,
1984,Skiing,Alpine Skiing,Men,Downhill,SUI,Silver,,,,,,
1988,Skiing,Alpine Skiing,Men,Downhill,SUI,Silver,,,,,,
1992,Skiing,Alpine Skiing,Men,Downhill,FRA,Silver,,,,,,
1994,Skiing,Alpine Skiing,Men,Downhill,NOR,Silver,,,,,,
1998,Skiing,Alpine Skiing,Men,Downhill,NOR,Silver,,,,,,
2002,Skiing,Alpine Skiing,Men,Downhill,NOR,Silver,,,,,,
2006,Skiing,Alpine Skiing,Men,Downhill,AUT,Silver,,,,,,
2010,Skiing,Alpine Skiing,Men,Downhill,NOR,Silver,,,,,,
2014,Skiing,Alpine Skiing,Men,Downhill,ITA,Silver,,,,,,
1952,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Bronze,,,,,AUT,
1956,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Bronze,,,,,SUI,
1960,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Bronze,,,,,SWE,
1964,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Bronze,,,,,LIE,
1968,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Bronze,,,,,NOR,
1972,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Bronze,,,,,FRA,
1976,Skiing,Alpine Skiing,Men,Giant Slalom,SWE,Bronze,,,,,ITA,
1980,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Bronze,,,,,GER,
1984,Skiing,Alpine Skiing,Men,Giant Slalom,LIE,Bronze,,,,,USA,
1988,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Bronze,,,,,YUG,
1992,Skiing,Alpine Skiing,Men,Giant Slalom,NOR,Bronze,,,,,LUX,
1994,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Bronze,,,,,,
1998,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Bronze,,,,,,
2002,Skiing,Alpine Skiing,Men,Giant Slalom,NOR,Bronze,,,,,,
2006,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Bronze,,,,,,
2010,Skiing,Alpine Skiing,Men,Giant Slalom,NOR,Bronze,,,,,,
2014,Skiing,Alpine Skiing,Men,Giant Slalom,FRA,Bronze,,,,,,
1952,Skiing,Alpine Skiing,Men,Giant Slalom,NOR,Gold,,,,,,
1956,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Gold,,,,,,
1960,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Gold,,,,,,
1964,Skiing,Alpine Skiing,Men,Giant Slalom,FRA,Gold,,,,,,
1968,Skiing,Alpine Skiing,Men,Giant Slalom,FRA,Gold,,,,,,
1972,Skiing,Alpine Skiing,Men,Giant Slalom,ITA,Gold,,,,,,
1976,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Gold,,,,,,
1980,Skiing,Alpine Skiing,Men,Giant Slalom,SWE,Gold,,,,,,
1984,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Gold,,,,,,
1988,Skiing,Alpine Skiing,Men,Giant Slalom,ITA,Gold,,,,,,
1992,Skiing,Alpine Skiing,Men,Giant Slalom,ITA,Gold,,,,,,
1994,Skiing,Alpine Skiing,Men,Giant Slalom,GER,Gold,,,,,,
1998,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Gold,,,,,,
2002,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Gold,,,,,,
2006,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Gold,,,,,,
2010,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Gold,,,,,,
2014,Skiing,Alpine Skiing,Men,Giant Slalom,USA,Gold,,,,,,
1952,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Silver,,,,,,
1956,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Silver,,,,,,
1960,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Silver,,,,,,
1964,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Silver,,,,,,
1968,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Silver,,,,,,
1972,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Silver,,,,,,
1976,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Silver,,,,,,
1980,Skiing,Alpine Skiing,Men,Giant Slalom,LIE,Silver,,,,,,
1984,Skiing,Alpine Skiing,Men,Giant Slalom,YUG,Silver,,,,,,
1988,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Silver,,,,,,
1992,Skiing,Alpine Skiing,Men,Giant Slalom,LUX,Silver,,,,,,
1994,Skiing,Alpine Skiing,Men,Giant Slalom,SUI,Silver,,,,,,
1998,Skiing,Alpine Skiing,Men,Giant Slalom,AUT,Silver,,,,,,
2002,Skiing,Alpine Skiing,Men,Giant Slalom,USA,Silver,,,,,,
2006,Skiing,Alpine Skiing,Men,Giant Slalom,FRA,Silver,,,,,,
2010,Skiing,Alpine Skiing,Men,Giant Slalom,NOR,Silver,,,,,,
2014,Skiing,Alpine Skiing,Men,Giant Slalom,FRA,Silver,,,,,,
1948,Skiing,Alpine Skiing,Men,Slalom,FRA,Bronze,,,,,FRA,
1952,Skiing,Alpine Skiing,Men,Slalom,NOR,Bronze,,,,,NOR,
1956,Skiing,Alpine Skiing,Men,Slalom,SWE,Bronze,,,,,SWE,
1960,Skiing,Alpine Skiing,Men,Slalom,FRA,Bronze,,,,,USA,
1964,Skiing,Alpine Skiing,Men,Slalom,USA,Bronze,,,,,AUT,
1968,Skiing,Alpine Skiing,Men,Slalom,AUT,Bronze,,,,,ITA,
1972,Skiing,Alpine Skiing,Men,Slalom,ITA,Bronze,,,,,LIE,
1976,Skiing,Alpine Skiing,Men,Slalom,LIE,Bronze,,,,,SUI,
1980,Skiing,Alpine Skiing,Men,Slalom,SUI,Bronze,,,,,SLO,
1984,Skiing,Alpine Skiing,Men,Slalom,FRA,Bronze,,,,,ESP,
1988,Skiing,Alpine Skiing,Men,Slalom,LIE,Bronze,,,,,JPN,
1992,Skiing,Alpine Skiing,Men,Slalom,AUT,Bronze,,,,,FRG,
1994,Skiing,Alpine Skiing,Men,Slalom,SLO,Bronze,,,,,CRO,
1998,Skiing,Alpine Skiing,Men,Slalom,AUT,Bronze,,,,,,
2002,Skiing,Alpine Skiing,Men,Slalom,AUT,Bronze,,,,,,
2006,Skiing,Alpine Skiing,Men,Slalom,AUT,Bronze,,,,,,
2010,Skiing,Alpine Skiing,Men,Slalom,SWE,Bronze,,,,,,
2014,Skiing,Alpine Skiing,Men,Slalom,NOR,Bronze,,,,,,
1948,Skiing,Alpine Skiing,Men,Slalom,SUI,Gold,,,,,,
1952,Skiing,Alpine Skiing,Men,Slalom,AUT,Gold,,,,,,
1956,Skiing,Alpine Skiing,Men,Slalom,AUT,Gold,,,,,,
1960,Skiing,Alpine Skiing,Men,Slalom,AUT,Gold,,,,,,
1964,Skiing,Alpine Skiing,Men,Slalom,AUT,Gold,,,,,,
1968,Skiing,Alpine Skiing,Men,Slalom,FRA,Gold,,,,,,
1972,Skiing,Alpine Skiing,Men,Slalom,ESP,Gold,,,,,,
1976,Skiing,Alpine Skiing,Men,Slalom,ITA,Gold,,,,,,
1980,Skiing,Alpine Skiing,Men,Slalom,SWE,Gold,,,,,,
1984,Skiing,Alpine Skiing,Men,Slalom,USA,Gold,,,,,,
1988,Skiing,Alpine Skiing,Men,Slalom,ITA,Gold,,,,,,
1992,Skiing,Alpine Skiing,Men,Slalom,NOR,Gold,,,,,,
1994,Skiing,Alpine Skiing,Men,Slalom,AUT,Gold,,,,,,
1998,Skiing,Alpine Skiing,Men,Slalom,NOR,Gold,,,,,,
2002,Skiing,Alpine Skiing,Men,Slalom,FRA,Gold,,,,,,
2006,Skiing,Alpine Skiing,Men,Slalom,AUT,Gold,,,,,,
2010,Skiing,Alpine Skiing,Men,Slalom,ITA,Gold,,,,,,
2014,Skiing,Alpine Skiing,Men,Slalom,AUT,Gold,,,,,,
1948,Skiing,Alpine Skiing,Men,Slalom,FRA,Silver,,,,,,
1952,Skiing,Alpine Skiing,Men,Slalom,NOR,Silver,,,,,,
1956,Skiing,Alpine Skiing,Men,Slalom,JPN,Silver,,,,,,
1960,Skiing,Alpine Skiing,Men,Slalom,AUT,Silver,,,,,,
1964,Skiing,Alpine Skiing,Men,Slalom,USA,Silver,,,,,,
1968,Skiing,Alpine Skiing,Men,Slalom,AUT,Silver,,,,,,
1972,Skiing,Alpine Skiing,Men,Slalom,ITA,Silver,,,,,,
1976,Skiing,Alpine Skiing,Men,Slalom,ITA,Silver,,,,,,
1980,Skiing,Alpine Skiing,Men,Slalom,USA,Silver,,,,,,
1984,Skiing,Alpine Skiing,Men,Slalom,USA,Silver,,,,,,
1988,Skiing,Alpine Skiing,Men,Slalom,FRG,Silver,,,,,,
1992,Skiing,Alpine Skiing,Men,Slalom,ITA,Silver,,,,,,
1994,Skiing,Alpine Skiing,Men,Slalom,ITA,Silver,,,,,,
1998,Skiing,Alpine Skiing,Men,Slalom,NOR,Silver,,,,,,
2002,Skiing,Alpine Skiing,Men,Slalom,FRA,Silver,,,,,,
2006,Skiing,Alpine Skiing,Men,Slalom,AUT,Silver,,,,,,
2010,Skiing,Alpine Skiing,Men,Slalom,CRO,Silver,,,,,,
2014,Skiing,Alpine Skiing,Men,Slalom,AUT,Silver,,,,,,
2010,Skiing,Alpine Skiing,Men,Super Combined,SUI,Bronze,,,,,SUI,
2014,Skiing,Alpine Skiing,Men,Super Combined,ITA,Bronze,,,,,ITA,
2010,Skiing,Alpine Skiing,Men,Super Combined,USA,Gold,,,,,USA,
2014,Skiing,Alpine Skiing,Men,Super Combined,SUI,Gold,,,,,CRO,
2010,Skiing,Alpine Skiing,Men,Super Combined,CRO,Silver,,,,,,
2014,Skiing,Alpine Skiing,Men,Super Combined,CRO,Silver,,,,,,
1988,Skiing,Alpine Skiing,Men,Super-G,SWE,Bronze,,,,,SWE,
1992,Skiing,Alpine Skiing,Men,Super-G,NOR,Bronze,,,,,NOR,
1994,Skiing,Alpine Skiing,Men,Super-G,NOR,Bronze,,,,,AUT,
2002,Skiing,Alpine Skiing,Men,Super-G,AUT,Bronze,,,,,SUI,
2006,Skiing,Alpine Skiing,Men,Super-G,SUI,Bronze,,,,,USA,
2010,Skiing,Alpine Skiing,Men,Super-G,USA,Bronze,,,,,CAN,
2014,Skiing,Alpine Skiing,Men,Super-G,CAN,Bronze,,,,,FRA,
2014,Skiing,Alpine Skiing,Men,Super-G,USA,Bronze,,,,,GER,
1988,Skiing,Alpine Skiing,Men,Super-G,FRA,Gold,,,,,LUX,
1992,Skiing,Alpine Skiing,Men,Super-G,NOR,Gold,,,,,,
1994,Skiing,Alpine Skiing,Men,Super-G,GER,Gold,,,,,,
1998,Skiing,Alpine Skiing,Men,Super-G,AUT,Gold,,,,,,
2002,Skiing,Alpine Skiing,Men,Super-G,NOR,Gold,,,,,,
2006,Skiing,Alpine Skiing,Men,Super-G,NOR,Gold,,,,,,
2010,Skiing,Alpine Skiing,Men,Super-G,NOR,Gold,,,,,,
2014,Skiing,Alpine Skiing,Men,Super-G,NOR,Gold,,,,,,
1988,Skiing,Alpine Skiing,Men,Super-G,AUT,Silver,,,,,,
1992,Skiing,Alpine Skiing,Men,Super-G,LUX,Silver,,,,,,
1994,Skiing,Alpine Skiing,Men,Super-G,USA,Silver,,,,,,
1998,Skiing,Alpine Skiing,Men,Super-G,AUT,Silver,,,,,,
1998,Skiing,Alpine Skiing,Men,Super-G,SUI,Silver,,,,,,
2002,Skiing,Alpine Skiing,Men,Super-G,AUT,Silver,,,,,,
2006,Skiing,Alpine Skiing,Men,Super-G,AUT,Silver,,,,,,
2010,Skiing,Alpine Skiing,Men,Super-G,USA,Silver,,,,,,
2014,Skiing,Alpine Skiing,Men,Super-G,USA,Silver,,,,,,
1936,Skiing,Alpine Skiing,Women,Alpine Combined,NOR,Bronze,,,,,,
1948,Skiing,Alpine Skiing,Women,Alpine Combined,AUT,Bronze,,,,,,
1988,Skiing,Alpine Skiing,Women,Alpine Combined,SUI,Bronze,,,,,,
1992,Skiing,Alpine Skiing,Women,Alpine Combined,FRA,Bronze,,,,,,
1994,Skiing,Alpine Skiing,Women,Alpine Combined,SLO,Bronze,,,,,,
1998,Skiing,Alpine Skiing,Women,Alpine Combined,GER,Bronze,,,,,,
2002,Skiing,Alpine Skiing,Women,Alpine Combined,GER,Bronze,,,,,,
2006,Skiing,Alpine Skiing,Women,Alpine Combined,SWE,Bronze,,,,,,
1936,Skiing,Alpine Skiing,Women,Alpine Combined,GER,Gold,,,,,,
1948,Skiing,Alpine Skiing,Women,Alpine Combined,AUT,Gold,,,,,,
1988,Skiing,Alpine Skiing,Women,Alpine Combined,AUT,Gold,,,,,,
1992,Skiing,Alpine Skiing,Women,Alpine Combined,AUT,Gold,,,,,,
1994,Skiing,Alpine Skiing,Women,Alpine Combined,SWE,Gold,,,,,,
1998,Skiing,Alpine Skiing,Women,Alpine Combined,GER,Gold,,,,,,
2002,Skiing,Alpine Skiing,Women,Alpine Combined,CRO,Gold,,,,,,
2006,Skiing,Alpine Skiing,Women,Alpine Combined,CRO,Gold,,,,,,
1936,Skiing,Alpine Skiing,Women,Alpine Combined,GER,Silver,,,,,,
1948,Skiing,Alpine Skiing,Women,Alpine Combined,USA,Silver,,,,,,
1988,Skiing,Alpine Skiing,Women,Alpine Combined,SUI,Silver,,,,,,
1992,Skiing,Alpine Skiing,Women,Alpine Combined,AUT,Silver,,,,,,
1994,Skiing,Alpine Skiing,Women,Alpine Combined,SUI,Silver,,,,,,
1998,Skiing,Alpine Skiing,Women,Alpine Combined,GER,Silver,,,,,,
2002,Skiing,Alpine Skiing,Women,Alpine Combined,AUT,Silver,,,,,,
2006,Skiing,Alpine Skiing,Women,Alpine Combined,AUT,Silver,,,,,,
1948,Skiing,Alpine Skiing,Women,Downhill,AUT,Bronze,,,,,AUT,
1952,Skiing,Alpine Skiing,Women,Downhill,ITA,Bronze,,,,,ITA,
1956,Skiing,Alpine Skiing,Women,Downhill,CAN,Bronze,,,,,CAN,
1960,Skiing,Alpine Skiing,Women,Downhill,AUT,Bronze,,,,,USA,
1964,Skiing,Alpine Skiing,Women,Downhill,AUT,Bronze,,,,,SUI,
1968,Skiing,Alpine Skiing,Women,Downhill,AUT,Bronze,,,,,TCH,
1972,Skiing,Alpine Skiing,Women,Downhill,USA,Bronze,,,,,FRA,
1976,Skiing,Alpine Skiing,Women,Downhill,USA,Bronze,,,,,SWE,
1980,Skiing,Alpine Skiing,Women,Downhill,SUI,Bronze,,,,,EUA,
1984,Skiing,Alpine Skiing,Women,Downhill,TCH,Bronze,,,,,FRG,
1988,Skiing,Alpine Skiing,Women,Downhill,CAN,Bronze,,,,,GER,
1992,Skiing,Alpine Skiing,Women,Downhill,AUT,Bronze,,,,,SLO,
1994,Skiing,Alpine Skiing,Women,Downhill,ITA,Bronze,,,,,LIE,
1998,Skiing,Alpine Skiing,Women,Downhill,FRA,Bronze,,,,,,
2002,Skiing,Alpine Skiing,Women,Downhill,AUT,Bronze,,,,,,
2006,Skiing,Alpine Skiing,Women,Downhill,SWE,Bronze,,,,,,
2010,Skiing,Alpine Skiing,Women,Downhill,AUT,Bronze,,,,,,
2014,Skiing,Alpine Skiing,Women,Downhill,SUI,Bronze,,,,,,
1948,Skiing,Alpine Skiing,Women,Downhill,SUI,Gold,,,,,,
1952,Skiing,Alpine Skiing,Women,Downhill,AUT,Gold,,,,,,
1956,Skiing,Alpine Skiing,Women,Downhill,SUI,Gold,,,,,,
1960,Skiing,Alpine Skiing,Women,Downhill,EUA,Gold,,,,,,
1964,Skiing,Alpine Skiing,Women,Downhill,AUT,Gold,,,,,,
1968,Skiing,Alpine Skiing,Women,Downhill,AUT,Gold,,,,,,
